property_id,batch_id,full_id,substance,box,equilibration_index,n_total_points,equilibrated_fraction,components
1098d98d91684bb4afb3c852f7056f30,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1098d98d91684bb4afb3c852f7056f30,CCCCNCCCC{solv}{x=0.492800}|CN(C)C=O{solv}{x=0.507200},CCCCNCCCC{solv}{x=0.492800}|CN(C)C=O{solv}{x=0.507200} (9932cc8996394201bf9ddd96d492f22f_1098d98d91684bb4afb3c852f7056f30),10,1020,0.00980392156862745,"['CCCCNCCCC', 'CN(C)C=O']"
10ce812076524e03a5e78f0e942d6c3a,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_10ce812076524e03a5e78f0e942d6c3a,C=CCCCC,C=CCCCC (9932cc8996394201bf9ddd96d492f22f_10ce812076524e03a5e78f0e942d6c3a),10,1020,0.00980392156862745,"['C=CCCCC', 'CCCO']"
110c0ce31e0948a08f3d1e5b1598005c,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_110c0ce31e0948a08f3d1e5b1598005c,C1CCOCC1{solv}{x=0.504600}|CCCC(C)=O{solv}{x=0.495400},C1CCOCC1{solv}{x=0.504600}|CCCC(C)=O{solv}{x=0.495400} (9932cc8996394201bf9ddd96d492f22f_110c0ce31e0948a08f3d1e5b1598005c),10,1020,0.00980392156862745,"['C1CCOCC1', 'CCCC(C)=O']"
114f939e6f8c453983df02a23c133783,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_114f939e6f8c453983df02a23c133783,C1COCO1{solv}{x=0.500000}|O=C1CCCC1{solv}{x=0.500000},C1COCO1{solv}{x=0.500000}|O=C1CCCC1{solv}{x=0.500000} (9932cc8996394201bf9ddd96d492f22f_114f939e6f8c453983df02a23c133783),10,1020,0.00980392156862745,"['C1COCO1', 'O=C1CCCC1']"
123dcc9e7c8348b692963f0d1a9c5557,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_123dcc9e7c8348b692963f0d1a9c5557,CCCNCCC,CCCNCCC (9932cc8996394201bf9ddd96d492f22f_123dcc9e7c8348b692963f0d1a9c5557),10,1020,0.00980392156862745,"['CCC(C)=O', 'CCCNCCC']"
1593ea67276646e98343494d139552f0,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1593ea67276646e98343494d139552f0,CCCNCCC{solv}{x=0.499500}|CN(C)C=O{solv}{x=0.500500},CCCNCCC{solv}{x=0.499500}|CN(C)C=O{solv}{x=0.500500} (9932cc8996394201bf9ddd96d492f22f_1593ea67276646e98343494d139552f0),10,1020,0.00980392156862745,"['CCCNCCC', 'CN(C)C=O']"
18b77ba87b5a46e997cbf98fff7a83d8,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_18b77ba87b5a46e997cbf98fff7a83d8,C1CCOCC1{solv}{x=0.821600}|Cc1ccccn1{solv}{x=0.178400},C1CCOCC1{solv}{x=0.821600}|Cc1ccccn1{solv}{x=0.178400} (9932cc8996394201bf9ddd96d492f22f_18b77ba87b5a46e997cbf98fff7a83d8),10,1020,0.00980392156862745,"['C1CCOCC1', 'Cc1ccccn1']"
1a646617da27435bacebb628b5c1f2f9,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1a646617da27435bacebb628b5c1f2f9,CCC(=O)OC,CCC(=O)OC (9932cc8996394201bf9ddd96d492f22f_1a646617da27435bacebb628b5c1f2f9),10,1020,0.00980392156862745,"['BrCCCCCCBr', 'CCC(=O)OC']"
1b6e2a141aab486da899e453e50d57fd,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1b6e2a141aab486da899e453e50d57fd,CCCCC(=O)OC,CCCCC(=O)OC (9932cc8996394201bf9ddd96d492f22f_1b6e2a141aab486da899e453e50d57fd),10,1020,0.00980392156862745,"['CC(C)CC(C)(C)C', 'CCCCC(=O)OC']"
1e99b329cc73460b8931977c3ceba3b6,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1e99b329cc73460b8931977c3ceba3b6,C1CCCCC1,C1CCCCC1 (9932cc8996394201bf9ddd96d492f22f_1e99b329cc73460b8931977c3ceba3b6),10,1020,0.00980392156862745,"['C1CCCCC1', 'CCCCCCCC']"
